major minor  #blocks  name

   1        0       4096 ram0
   1        1       4096 ram1
   1        2       4096 ram2
   1        3       4096 ram3
   1        4       4096 ram4
   1        5       4096 ram5
   1        6       4096 ram6
   1        7       4096 ram7
   1        8       4096 ram8
   1        9       4096 ram9
   1       10       4096 ram10
   1       11       4096 ram11
   1       12       4096 ram12
   1       13       4096 ram13
   1       14       4096 ram14
   1       15       4096 ram15
  31        0       1024 mtdblock0
  31        1       1024 mtdblock1
  31        2        512 mtdblock2
  31        3        512 mtdblock3
  31        4       3072 mtdblock4
  31        5       3072 mtdblock5
  31        6        512 mtdblock6
  31        7        512 mtdblock7
  31        8        512 mtdblock8
  31        9        512 mtdblock9
  31       10        512 mtdblock10
  31       11        512 mtdblock11
  31       12        512 mtdblock12
  31       13        512 mtdblock13
  31       14        512 mtdblock14
  31       15       1024 mtdblock15
  31       16       1024 mtdblock16
  31       17        512 mtdblock17
  31       18     102400 mtdblock18
  31       19      25088 mtdblock19
  31       20     102400 mtdblock20
  31       21      25088 mtdblock21
  31       22       2304 mtdblock22
  31       23       1024 mtdblock23
  31       24       8192 mtdblock24
  31       25     732928 mtdblock25
  31       26       5952 mtdblock26
  31       27      43896 mtdblock27
  31       28      28520 mtdblock28
  31       29       2232 mtdblock29
  31       30     689192 mtdblock30
   8        0   30289920 sda
   8        1   30288896 sda1
