dev:    size   erasesize  name
mtd0: 00100000 00040000 "0:SBL1"
mtd1: 00100000 00040000 "0:MIBIB"
mtd2: 00080000 00040000 "0:BOOTCONFIG"
mtd3: 00080000 00040000 "0:BOOTCONFIG1"
mtd4: 00300000 00040000 "0:QSEE"
mtd5: 00300000 00040000 "0:QSEE_1"
mtd6: 00080000 00040000 "0:DEVCFG"
mtd7: 00080000 00040000 "0:DEVCFG_1"
mtd8: 00080000 00040000 "0:APDP"
mtd9: 00080000 00040000 "0:APDP_1"
mtd10: 00080000 00040000 "0:RPM"
mtd11: 00080000 00040000 "0:RPM_1"
mtd12: 00080000 00040000 "0:CDT"
mtd13: 00080000 00040000 "0:CDT_1"
mtd14: 00080000 00040000 "0:APPSBLENV"
mtd15: 00100000 00040000 "0:APPSBL"
mtd16: 00100000 00040000 "0:APPSBL_1"
mtd17: 00080000 00040000 "0:ART"
mtd18: 06400000 00040000 "rootfs"
mtd19: 01880000 00040000 "0:WIFIFW"
mtd20: 06400000 00040000 "rootfs_1"
mtd21: 01880000 00040000 "0:WIFIFW_1"
mtd22: 00240000 00040000 "0:ETHPHYFW"
mtd23: 00100000 00040000 "0:board_data"
mtd24: 00800000 00040000 "0:arc_datadump"
mtd25: 2cbc0000 00040000 "0:arc_data"
mtd26: 005d0000 0003e000 "kernel"
mtd27: 02ade000 0003e000 "ubi_rootfs"
mtd28: 01bda000 0003e000 "rootfs_data"
mtd29: 0022e000 0003e000 "wifi_fw"
mtd30: 2a10a000 0003e000 "arc-data"
