                    CPU0       CPU1       CPU2       CPU3       
          HI:          6          0          0          0
       TIMER:     585963     555899    1045875     454810
      NET_TX:      10084      11247      14827       9674
      NET_RX:   22579370   21660374      28341   21157282
       BLOCK:       5381       7337       1752       3833
BLOCK_IOPOLL:          0          0          0          0
     TASKLET:   26163106          6          2          3
       SCHED:     580268     549983    1034579     448880
     HRTIMER:          0          0          0          0
         RCU:     587254     549990    1029933     448909
